,GENRE,FILM_ID
2718,Thriller,1153
2719,Drama,1154
2720,Sport,1154
2721,Drama,1155
2722,Sport,1155
2723,War,1155
2724,Action,1156
2725,Crime,1156
2726,Thriller,1156
2727,Drama,1157
2728,Sport,1157
2729,Drama,1158
2730,Crime,1159
2731,Drama,1159
2732,Thriller,1159
2733,Drama,1160
2734,Sport,1160
2735,Action,1161
2736,Comedy,1161
2737,Crime,1161
2738,Action,1162
2739,Crime,1162
2740,Drama,1162
2741,Action,1163
2742,Crime,1163
2743,Drama,1163
2744,Crime,1164
2745,Mystery,1164
2746,Thriller,1164
2747,Action,1165
2748,Comedy,1165
2749,Sci-Fi,1165
2750,Biography,1166
2751,Crime,1166
2752,Drama,1166
2753,Comedy,1167
2754,Comedy,1168
2755,Drama,1168
2756,Romance,1168
2757,Drama,1169
2758,Thriller,1169
2759,Comedy,1170
2760,Comedy,1171
2761,Adult,1172
2762,Comedy,1172
2763,Drama,1172
2764,Drama,1173
2765,Action,1174
2766,Crime,1174
2767,Thriller,1174
2768,Drama,1175
2769,Sport,1175
2770,Game-Show,1176
2771,Reality-TV,1176
2772,Action,1177
2773,Drama,1177
2774,Sport,1177
2775,Short,1178
2776,Action,1178
2777,Short,1179
2778,Action,1179
2779,Short,1180
2780,Romance,1180
2781,Action,1181
2782,Adventure,1181
2783,Thriller,1181
2784,Action,1182
2785,Crime,1182
2786,Thriller,1182
2787,Short,1183
2788,Comedy,1183
2789,Sport,1183
2790,Action,1184
2791,Adventure,1184
2792,Thriller,1184
2793,Short,1185
2794,Action,1185
2795,Action,1186
2796,Adventure,1186
2797,Thriller,1186
2798,Short,1187
2799,Action,1187
2800,Short,1188
2801,Action,1188
2802,Drama,1189
2803,Sport,1189
2804,Thriller,1190
2805,Action,1192
2806,Comedy,1192
2807,Action,1193
2808,Biography,1193
2809,Drama,1193
2810,Action,1194
2811,Crime,1195
2812,Drama,1195
2813,Drama,1196
2814,Action,1197
2815,Drama,1197
2816,Fantasy,1197
2817,Documentary,1198
2818,Documentary,1199
2819,Sport,1199
2820,Action,1200
2821,Crime,1200
2822,Thriller,1200
2823,Drama,1201
2824,Sport,1201
2825,Game-Show,1202
2826,Reality-TV,1202
2827,Game-Show,1203
2828,Reality-TV,1203
2829,Game-Show,1204
2830,Reality-TV,1204
2831,Action,1205
2832,Drama,1205
2833,Sport,1205
2834,Action,1206
2835,Crime,1206
2836,Thriller,1206
2837,Documentary,1207
2838,Action,1208
2839,Game-Show,1208
2840,Reality-TV,1208
2841,Reality-TV,1209
2842,Sport,1209
2843,Animation,1210
2844,Action,1210
2845,Adventure,1210
2846,Biography,1212
2847,Drama,1212
2848,Drama,1213
2849,Action,1214
2850,Adventure,1214
2851,Fantasy,1214
2852,Crime,1215
2853,Drama,1215
2854,Mystery,1215
2855,Drama,1216
2856,Family,1216
2857,Biography,1217
2858,Drama,1217
2859,History,1217
2860,Animation,1218
2861,Short,1218
2862,Action,1218
2863,Animation,1219
2864,Drama,1219
2865,Family,1219
2866,Animation,1220
2867,Family,1220
2868,Drama,1221
2869,Animation,1222
2870,Adventure,1222
2871,Comedy,1222
2872,Drama,1223
2873,Family,1223
2874,Fantasy,1223
2875,Drama,1224
2876,Romance,1224
2877,Drama,1225
2878,Thriller,1225
2879,Animation,1226
2880,Adventure,1226
2881,Family,1226
2882,Drama,1227
2883,Romance,1227
2884,Animation,1228
2885,Short,1228
2886,Family,1228
2887,Animation,1229
2888,Short,1229
2889,Action,1230
2890,Crime,1230
2891,Thriller,1230
