,FILM_NAME,FILM_YEAR,RATING,FILM_LINK,ACTOR_ID
178,... und Gerechtigkeit für alle,1979,7.4,https://www.imdb.com/title/tt0078718/?ref_=nm_flmg_i_52_act,1
179,Der Pate - Die Saga,1977,9.5,https://www.imdb.com/title/tt0809488/?ref_=nm_flmg_i_53_act,1
180,Bobby Deerfield,1977,5.8,https://www.imdb.com/title/tt0075774/?ref_=nm_flmg_i_54_act,1
181,Hundstage,1975,8.0,https://www.imdb.com/title/tt0072890/?ref_=nm_flmg_i_55_act,1
182,Der Pate 2,1974,9.0,https://www.imdb.com/title/tt0071562/?ref_=nm_flmg_i_56_act,1
183,Serpico,1973,7.7,https://www.imdb.com/title/tt0070666/?ref_=nm_flmg_i_57_act,1
184,Asphalt-Blüten,1973,7.2,https://www.imdb.com/title/tt0070643/?ref_=nm_flmg_i_58_act,1
185,Der Pate,1972,9.2,https://www.imdb.com/title/tt0068646/?ref_=nm_flmg_i_59_act,1
186,Panik im Needle Park,1971,7.0,https://www.imdb.com/title/tt0067549/?ref_=nm_flmg_i_60_act,1
187,"Ich, Natalie",1969,6.5,https://www.imdb.com/title/tt0064651/?ref_=nm_flmg_i_61_act,1
188,Heiße Spuren,1967–1969,7.6,https://www.imdb.com/title/tt0061282/?ref_=nm_flmg_i_62_act,1
189,King Lear,-,-,https://www.imdb.com/title/tt1371129/?ref_=nm_flmg_unrel_1_prd,1
190,Modigliani,-,-,https://www.imdb.com/title/tt21803918/?ref_=nm_flmg_unrel_2_prd,1
191,Der letzte Akt,2014,5.6,https://www.imdb.com/title/tt1568343/?ref_=nm_flmg_i_1_prd,1
192,Al Pacino's Looking for Richard,1996,7.3,https://www.imdb.com/title/tt0116913/?ref_=nm_flmg_i_2_prd,1
193,Salomé,2013,6.4,https://www.imdb.com/title/tt3112900/?ref_=nm_flmg_i_1_dr,1
194,Wilde Salomé,2011,6.6,https://www.imdb.com/title/tt0795459/?ref_=nm_flmg_i_2_dr,1
195,Chinese Coffee,2000,7.1,https://www.imdb.com/title/tt0118852/?ref_=nm_flmg_i_3_dr,1
196,Al Pacino's Looking for Richard,1996,7.3,https://www.imdb.com/title/tt0116913/?ref_=nm_flmg_i_4_dr,1
197,About My Father,2023,-,https://www.imdb.com/title/tt8373206/?ref_=nm_flmg_unrel_1_act,2
198,Inappropriate Behavior,2023,-,https://www.imdb.com/title/tt20315818/?ref_=nm_flmg_unrel_2_act,2
199,Nada,2023– ,-,https://www.imdb.com/title/tt14781286/?ref_=nm_flmg_unrel_3_act,2
200,Tin Soldier,-,-,https://www.imdb.com/title/tt20258920/?ref_=nm_flmg_unrel_4_act,2
201,Wise Guys,-,-,https://www.imdb.com/title/tt21815562/?ref_=nm_flmg_unrel_5_act,2
202,Mr. Natural,-,-,https://www.imdb.com/title/tt24515854/?ref_=nm_flmg_unrel_6_act,2
203,After Exile,-,-,https://www.imdb.com/title/tt3143812/?ref_=nm_flmg_unrel_7_act,2
204,Untitled De Niro/Ramirez/Jakubowicz Project,-,-,https://www.imdb.com/title/tt4075436/?ref_=nm_flmg_unrel_8_act,2
205,Killers of the Flower Moon,-,-,https://www.imdb.com/title/tt5537002/?ref_=nm_flmg_unrel_9_act,2
206,Pfad der Vergeltung,2022,4.5,https://www.imdb.com/title/tt13055982/?ref_=nm_flmg_i_1_act,2
207,Amsterdam,2022,6.1,https://www.imdb.com/title/tt10304142/?ref_=nm_flmg_i_2_act,2
208,The Comeback Trail,2020,5.7,https://www.imdb.com/title/tt5420210/?ref_=nm_flmg_i_3_act,2
209,Father of the Bride Part 3 (ish),2020,6.9,https://www.imdb.com/title/tt13160412/?ref_=nm_flmg_i_4_act,2
210,Immer Ärger mit Grandpa,2020,5.6,https://www.imdb.com/title/tt4532038/?ref_=nm_flmg_i_5_act,2
211,The Irishman,2019,7.8,https://www.imdb.com/title/tt1302006/?ref_=nm_flmg_i_6_act,2
212,Joker,2019,8.4,https://www.imdb.com/title/tt7286456/?ref_=nm_flmg_i_7_act,2
213,Saturday Night Live,1975– ,8.0,https://www.imdb.com/title/tt0072562/?ref_=nm_flmg_i_8_act,2
214,The Wizard of Lies - Das Lügengenie,2017,6.8,https://www.imdb.com/title/tt1933667/?ref_=nm_flmg_i_9_act,2
215,The Comedian - Wer zuletzt lacht,2016,5.8,https://www.imdb.com/title/tt1967614/?ref_=nm_flmg_i_10_act,2
216,Hands of Stone,2016,6.6,https://www.imdb.com/title/tt1781827/?ref_=nm_flmg_i_11_act,2
217,Dirty Grandpa,2016,5.9,https://www.imdb.com/title/tt1860213/?ref_=nm_flmg_i_12_act,2
218,Joy: Alles außer gewöhnlich,2015,6.6,https://www.imdb.com/title/tt2446980/?ref_=nm_flmg_i_13_act,2
219,Die Entführung von Bus 657,2015,6.1,https://www.imdb.com/title/tt3276924/?ref_=nm_flmg_i_14_act,2
220,Ellis,2015,6.8,https://www.imdb.com/title/tt5227516/?ref_=nm_flmg_i_15_act,2
221,The Audition,2015,6.6,https://www.imdb.com/title/tt4016250/?ref_=nm_flmg_i_16_act,2
222,Man lernt nie aus,2015,7.1,https://www.imdb.com/title/tt2361509/?ref_=nm_flmg_i_17_act,2
223,The King of Comedy: Deleted and Extended Scenes,2014,7.3,https://www.imdb.com/title/tt10908058/?ref_=nm_flmg_i_18_act,2
224,Motel Room 13,2014,5.2,https://www.imdb.com/title/tt2212008/?ref_=nm_flmg_i_19_act,2
225,Zwei vom alten Schlag,2013,6.4,https://www.imdb.com/title/tt1661382/?ref_=nm_flmg_i_20_act,2
226,American Hustle,2013,7.2,https://www.imdb.com/title/tt1800241/?ref_=nm_flmg_i_21_act,2
227,Last Vegas,2013,6.6,https://www.imdb.com/title/tt1204975/?ref_=nm_flmg_i_22_act,2
228,Malavita - The Family,2013,6.3,https://www.imdb.com/title/tt2404311/?ref_=nm_flmg_i_23_act,2
229,Killing Season,2013,5.4,https://www.imdb.com/title/tt1480295/?ref_=nm_flmg_i_24_act,2
